City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
245,Sur,OM,22.5667,59.5289,79.21,58,0,8.43,clear sky
246,Biltine,TD,14.5333,20.9167,98.85,4,98,4.79,overcast clouds
247,Gamba,GA,-2.65,10.0,83.41,69,19,10.58,few clouds
248,Lagoa,PT,39.05,-27.9833,61.23,89,61,8.32,broken clouds
249,Kudahuvadhoo,MV,2.6708,72.8944,82.54,69,12,1.5,few clouds
250,Pyay,MM,18.8167,95.2167,84.94,52,2,7.61,clear sky
251,Touros,BR,-5.1989,-35.4608,87.44,59,75,16.69,broken clouds
252,Todos Santos,MX,23.45,-110.2167,66.34,43,9,1.72,clear sky
253,Abu Samrah,SY,35.3029,37.1841,65.48,42,0,9.51,clear sky
254,Clyde River,CA,70.4692,-68.5914,3.43,85,20,10.36,few clouds
255,Porto Santo,PT,33.072,-16.3415,66.58,63,40,12.66,scattered clouds
256,Kirakira,SB,-10.4544,161.9205,80.46,84,96,2.77,moderate rain
257,Saskylakh,RU,71.9167,114.0833,-18.98,98,94,6.02,overcast clouds
258,Aripuana,BR,-9.1667,-60.6333,73.42,98,100,2.21,overcast clouds
259,Luderitz,NA,-26.6481,15.1594,70.68,62,33,24.85,scattered clouds
260,Kaka,TM,37.3482,59.6143,60.67,27,0,14.52,clear sky
261,Fare,PF,-16.7,-151.0167,81.93,67,40,14.7,scattered clouds
262,Caravelas,BR,-17.7125,-39.2481,84.94,61,48,7.54,scattered clouds
263,Chapais,CA,49.7834,-74.8492,11.98,82,94,1.86,overcast clouds
264,Korla,CN,41.7597,86.1469,46.15,63,1,16.53,clear sky
265,Isla Mujeres,MX,21.2311,-86.731,80.65,67,0,19.77,clear sky
266,Basco,PH,20.4487,121.9702,80.06,83,100,16.93,overcast clouds
267,Okha,RU,53.5739,142.9478,6.75,87,12,11.43,few clouds
268,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,83,40,4.61,scattered clouds
269,Prainha,BR,-1.8,-53.48,73.78,98,100,1.59,moderate rain
270,Leningradskiy,RU,69.3833,178.4167,-22.38,100,87,2.91,overcast clouds
271,Akcakoca,TR,41.0866,31.1162,59.02,67,34,3.2,scattered clouds
272,Limulunga,ZM,-15.0969,23.1376,73.08,84,100,2.17,overcast clouds
273,Taoudenni,ML,22.6783,-3.9836,94.03,16,100,12.37,overcast clouds
274,Coquimbo,CL,-29.9533,-71.3436,58.73,88,75,11.5,broken clouds
275,Xingcheng,CN,40.6167,120.7167,40.37,48,31,6.85,scattered clouds
276,Meulaboh,ID,4.1363,96.1285,77.95,82,100,2.17,overcast clouds
277,Barpali,IN,21.2,83.5833,92.12,10,10,3.69,clear sky
278,Twin Falls,US,42.3505,-114.6445,41.94,87,0,10.36,clear sky
279,Grand Gaube,MU,-20.0064,57.6608,77.4,85,88,5.99,moderate rain
280,Perelyub,RU,51.8667,50.3667,35.01,100,100,5.84,light snow
