City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
385,Islamkot,PK,86.85,clear sky,24.6997,70.177,Haji Hotel
386,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
387,Palmerston,AU,82.38,few clouds,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
388,Palu,ID,76.06,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
389,Gushikawa,JP,72.63,scattered clouds,26.3544,127.8686,Kirari Guest House
391,Maarianhamina,AX,33.66,broken clouds,60.0973,19.9348,Park Alandia Hotel
393,Orchard Homes,US,39.27,clear sky,46.8633,-114.0484,Broadway Inn Missoula
394,Barranco,PA,84.34,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
395,Vila,PT,53.71,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
396,Asyut,EG,85.91,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
398,Zheleznodorozhnyy,RU,34.32,broken clouds,55.7503,38.0042,Hotel Dali
399,Witu,KE,86.16,moderate rain,-2.3889,40.4382,
400,Oriximina,BR,73.69,light rain,-1.7656,-55.8661,Pousada Tia Amélia
401,Providencia,MX,60.66,clear sky,28.7167,-111.5833,
402,Merzifon,TR,56.66,scattered clouds,40.8733,35.4631,Mersuvan Turizm
403,Erenhot,CN,35.82,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
